"filename", "language", "XML", "Docker", "JSON", "Java", "comment", "blank", "total"
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\dockerfile", "Docker", 0, -18, 0, 0, 18, 0, 0
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\pom.xml", "XML", -2, 0, 0, 0, -3, -1, -6
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\App.java", "Java", 0, 0, 0, -19, -47, -8, -74
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\Main.java", "Java", 0, 0, 0, 8, 1, 2, 11
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\concurrent\RuleQueue.java", "Java", 0, 0, 0, 38, 2, 2, 42
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\consumer\Consumer.java", "Java", 0, 0, 0, 50, -1, 8, 57
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\App.java", "Java", 0, 0, 0, -85, 85, 0, 0
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\ElasticsearchManager.java", "Java", 0, 0, 0, -130, -1, -1, -132
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\ElasticSearch\RawPacket.java", "Java", 0, 0, 0, 14, 0, 6, 20
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\Rules.java", "Java", 0, 0, 0, 5, 0, 0, 5
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\database\mysql\User.java", "Java", 0, 0, 0, 3, 0, -1, 2
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ObserverPattern\Observer.java", "Java", 0, 0, 0, 1, 0, 1, 2
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ObserverPattern\Subject.java", "Java", 0, 0, 0, 1, 0, 1, 2
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ProducerConsumer\ProducerConsumer.java", "Java", 0, 0, 0, 7, 0, 2, 9
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\engine\EngineIds.java", "Java", 0, 0, 0, 11, -6, 0, 5
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\AboutDialog.java", "Java", 0, 0, 0, 127, 12, 23, 162
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\FilterDialog.java", "Java", 0, 0, 0, 214, 9, 41, 264
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Gui.java", "Java", 0, 0, 0, -88, 88, 0, 0
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\HelpDialog.java", "Java", 0, 0, 0, 3, 0, 3, 6
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\MainAppWindow.java", "Java", 0, 0, 0, 469, 24, 73, 566
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\NetworkAnalyzer.java", "Java", 0, 0, 0, 732, 90, 155, 977
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Packet.java", "Java", 0, 0, 0, 148, 2, 34, 184
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketCapture.java", "Java", 0, 0, 0, 3, 0, 2, 5
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketCaptureTask.java", "Java", 0, 0, 0, 13, 2, 5, 20
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketController.java", "Java", 0, 0, 0, 31, 3, 7, 41
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\PacketListPanel.java", "Java", 0, 0, 0, 834, 120, 185, 1139
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Rule.java", "Java", 0, 0, 0, 55, 1, 14, 70
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\RuleManager.java", "Java", 0, 0, 0, 112, 41, 21, 174
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\RulesDialog.java", "Java", 0, 0, 0, 458, 41, 93, 592
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\ScrollBarObserver.java", "Java", 0, 0, 0, -26, 23, -1, -4
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\SettingsDialog.java", "Java", 0, 0, 0, 232, 17, 66, 315
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\SignInScreen.java", "Java", 0, 0, 0, 83, 10, 20, 113
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskObserver.java", "Java", 0, 0, 0, 17, 1, 5, 23
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskObserverAdapter.java", "Java", 0, 0, 0, 20, 5, 5, 30
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\TaskSubject.java", "Java", 0, 0, 0, 8, 3, 4, 15
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\UIFactory.java", "Java", 0, 0, 0, 234, 19, 45, 298
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\UserModel.java", "Java", 0, 0, 0, 24, 1, 9, 34
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\WelcomeScreen.java", "Java", 0, 0, 0, 266, 34, 51, 351
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\WelcomeScreen2.java", "Java", 0, 0, 0, 112, 6, 32, 150
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\packetmodel.java", "Java", 0, 0, 0, 35, 1, 7, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\PacketParser.java", "Java", 0, 0, 0, 2, -3, 6, 5
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\PacketRule.java", "Java", 0, 0, 0, 28, 1, 9, 38
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\ParsedData.java", "Java", 0, 0, 0, 26, 0, 4, 30
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RegexPattern.java", "Java", 0, 0, 0, -55, -6, 0, -61
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RulesValidation.java", "Java", 0, 0, 0, 41, 0, 8, 49
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\resources\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 29
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\target\classes\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 29
"Total", "-", -2, -18, 58, 4062, 593, 937, 5630
